,LexrankSummariser,KLSummariser,LsaSummariser,TextrankSummariser,LuhnSummariser,average
0,0.7999999950535078,0.8256880683967868,0.9230769180802104,0.795031050900814,0.766773157941798,0.8095238045629136
1,0.9102989983289369,0.7508532373213432,0.7972508541065885,0.9185667702596314,0.9006622466635237,0.9235880348737874
2,0.8360655688040849,0.4693877507038734,0.8616600740608352,0.9770992316415129,0.8764940189177951,0.8278688474926095
3,0.7607361913417894,0.7499999950382813,0.7499999950382813,0.9230769180812998,0.8902438974576146,0.7607361913417894
4,0.5189189139225713,0.5189189139225713,0.34939758546596034,0.8199999950125002,0.8082901504416226,0.5189189139225713
5,0.9042904240473157,0.7665505176860227,0.7808219128316757,0.999999995,0.999999995,0.8976897639813091
6,0.7859078540892034,0.683870962833715,0.7450980342166672,0.8555555505580248,0.7759562791603213,0.7548209316437099
7,0.7383177520831515,0.5829596362846629,0.8571428521432103,0.8740157430466863,0.8740157430466863,0.8987854201052305
8,0.8184437990914302,0.8228571379043266,0.8491620061995568,0.9395604345755344,0.9395604345755344,0.9340659290810289
9,0.8681671975765347,0.5797101400546104,0.8266666616888889,0.8292682876859013,0.842105258158326,0.8133333283555556
